,precision,recall,f1-score,support
0,0.8348540145985401,0.8857696030977735,0.85955847815876,1033.0
1,0.6205787781350482,0.516042780748663,0.5635036496350365,374.0
accuracy,0.7874911158493249,0.7874911158493249,0.7874911158493249,0.7874911158493249
macro avg,0.7277163963667942,0.7009061919232182,0.7115310638968982,1407.0
weighted avg,0.7778967022763326,0.7874911158493249,0.7808630226734206,1407.0
